timestamp,gco2_per_kwh,week_index,week_start
2020-05-04 00:00:00+00:00,160.0870964221871,0,2020-05-04T00:00:00+00:00
2020-05-04 00:30:00+00:00,150.67418812022262,0,2020-05-04T00:00:00+00:00
2020-05-04 01:00:00+00:00,162.2531583706452,0,2020-05-04T00:00:00+00:00
2020-05-04 01:30:00+00:00,163.58395301473848,0,2020-05-04T00:00:00+00:00
2020-05-04 02:00:00+00:00,144.29683054332924,0,2020-05-04T00:00:00+00:00
2020-05-04 02:30:00+00:00,148.83882031586987,0,2020-05-04T00:00:00+00:00
2020-05-04 03:00:00+00:00,161.6461715162067,0,2020-05-04T00:00:00+00:00
2020-05-04 03:30:00+00:00,158.53759054763063,0,2020-05-04T00:00:00+00:00
2020-05-04 04:00:00+00:00,165.08340202424665,0,2020-05-04T00:00:00+00:00
2020-05-04 04:30:00+00:00,159.22970263376163,0,2020-05-04T00:00:00+00:00
2020-05-04 05:00:00+00:00,177.1557858240398,0,2020-05-04T00:00:00+00:00
2020-05-04 05:30:00+00:00,176.44454354800263,0,2020-05-04T00:00:00+00:00
2020-05-04 06:00:00+00:00,178.21528162005794,0,2020-05-04T00:00:00+00:00
2020-05-04 06:30:00+00:00,185.64375518590563,0,2020-05-04T00:00:00+00:00
2020-05-04 07:00:00+00:00,188.27256539576433,0,2020-05-04T00:00:00+00:00
2020-05-04 07:30:00+00:00,178.98495275981733,0,2020-05-04T00:00:00+00:00
2020-05-04 08:00:00+00:00,194.82818875144807,0,2020-05-04T00:00:00+00:00
2020-05-04 08:30:00+00:00,185.5347550570676,0,2020-05-04T00:00:00+00:00
2020-05-04 09:00:00+00:00,205.14915210915092,0,2020-05-04T00:00:00+00:00
2020-05-04 09:30:00+00:00,198.65051862309622,0,2020-05-04T00:00:00+00:00
2020-05-04 10:00:00+00:00,203.5049533284065,0,2020-05-04T00:00:00+00:00
2020-05-04 10:30:00+00:00,200.03248306239573,0,2020-05-04T00:00:00+00:00
2020-05-04 11:00:00+00:00,217.8065006766825,0,2020-05-04T00:00:00+00:00
2020-05-04 11:30:00+00:00,208.16700493148267,0,2020-05-04T00:00:00+00:00
2020-05-04 12:00:00+00:00,209.04762838095215,0,2020-05-04T00:00:00+00:00
2020-05-04 12:30:00+00:00,209.5809882826763,0,2020-05-04T00:00:00+00:00
2020-05-04 13:00:00+00:00,216.72616429887344,0,2020-05-04T00:00:00+00:00
2020-05-04 13:30:00+00:00,215.55810845054856,0,2020-05-04T00:00:00+00:00
2020-05-04 14:00:00+00:00,214.9350514172658,0,2020-05-04T00:00:00+00:00
2020-05-04 14:30:00+00:00,215.06167015714908,0,2020-05-04T00:00:00+00:00
2020-05-04 15:00:00+00:00,224.24024451205753,0,2020-05-04T00:00:00+00:00
2020-05-04 15:30:00+00:00,206.403806191272,0,2020-05-04T00:00:00+00:00
2020-05-04 16:00:00+00:00,201.21329076972256,0,2020-05-04T00:00:00+00:00
2020-05-04 16:30:00+00:00,199.10258077548818,0,2020-05-04T00:00:00+00:00
2020-05-04 17:00:00+00:00,203.31185595802847,0,2020-05-04T00:00:00+00:00
2020-05-04 17:30:00+00:00,206.90280604904623,0,2020-05-04T00:00:00+00:00
2020-05-04 18:00:00+00:00,191.44930105928646,0,2020-05-04T00:00:00+00:00
2020-05-04 18:30:00+00:00,186.36583792413288,0,2020-05-04T00:00:00+00:00
2020-05-04 19:00:00+00:00,179.22863149016132,0,2020-05-04T00:00:00+00:00
2020-05-04 19:30:00+00:00,189.55414951477292,0,2020-05-04T00:00:00+00:00
2020-05-04 20:00:00+00:00,182.9558459355535,0,2020-05-04T00:00:00+00:00
2020-05-04 20:30:00+00:00,181.55514661526578,0,2020-05-04T00:00:00+00:00
2020-05-04 21:00:00+00:00,166.34143204897913,0,2020-05-04T00:00:00+00:00
2020-05-04 21:30:00+00:00,172.62512926146704,0,2020-05-04T00:00:00+00:00
2020-05-04 22:00:00+00:00,166.01781079076179,0,2020-05-04T00:00:00+00:00
